iso3,year,conflict_score,disaster_score,economic_score,health_shock,PEI,conflict_score_flag,disaster_score_flag,economic_score_flag,health_shock_flag,n_crises_above_threshold,is_polycrise_year,income_group,region,country_name
SDN,2021,0.5618888878045432,0.4201748884091802,0.6862806801578267,0.2499999999375,0.5107750028639668,0,0,1,1,2,0,LIC,MENA,Sudan
SDN,2022,0.5939504575665159,0.6108264868453361,0.7337384937246173,0.0,0.5440239052907689,0,0,1,1,2,0,LIC,MENA,Sudan
SDN,2023,0.7911322085906297,,0.937873501397257,0.0,0.5113646483560346,1,0,1,1,3,1,LIC,MENA,Sudan
SDN,2024,0.7983288968852477,0.4448891721361278,0.9951431347940438,,0.6394231906423795,1,0,1,0,2,0,LIC,MENA,Sudan
BGD,2010,0.5530871320815648,0.4676723025814643,0.2302980638162311,,0.3680730878279715,0,0,0,0,0,0,LMIC,SASIA,Bangladesh
BGD,2011,0.5419461498749081,0.5038288316871515,0.2237803969673619,0.0,0.3715834596198462,0,0,0,1,1,0,LMIC,SASIA,Bangladesh
BGD,2012,0.5139503246272626,0.5669826742231671,0.2244485195536132,0.0,0.377740412063737,0,0,0,1,1,0,LMIC,SASIA,Bangladesh
BGD,2013,0.5537748649257234,0.5516098600041263,0.2184534707842733,0.0,0.38633703542110304,0,0,0,1,1,0,LMIC,SASIA,Bangladesh
BGD,2014,0.4825323444334812,0.642376837793197,0.2206034000746113,0.0,0.3846313800186705,0,0,0,1,1,0,LMIC,SASIA,Bangladesh
BGD,2015,0.504797181413188,0.6178548084899997,0.2033554160157032,0.0,0.3819815696210415,0,0,0,1,1,0,LMIC,SASIA,Bangladesh
BGD,2016,0.4526299802264908,0.715979474501373,0.1890568118729461,0.0,0.3846795646728516,0,1,0,1,2,0,LMIC,SASIA,Bangladesh
BGD,2017,0.3957909193044172,0.7109422046272379,0.1938010591604339,0.0,0.36471263770346396,0,1,0,1,2,0,LMIC,SASIA,Bangladesh
BGD,2018,0.4607778868496286,0.284439092868624,0.1842182065471859,0.0,0.2784365852513225,0,0,0,1,1,0,LMIC,SASIA,Bangladesh
