iso3,year,n_disasters,total_deaths,total_affected,total_damage_kUSD,disaster_score
MMR,2023,4,166.0,1276747.0,2306069.0,0.7589435757520105
MMR,2024,3,510.0,1106940.0,222000.0,0.6400860007865137
NGA,2010,3,1912.0,1543487.0,43157.0,0.5701393894789986
NGA,2011,6,879.0,52309.0,6275.0,0.46324404306231637
NGA,2012,3,388.0,7015896.0,684505.0,0.700839271832713
NGA,2013,1,19.0,81506.0,0.0,0.3483603878989904
NGA,2014,3,778.0,46017.0,0.0,0.3687982188914059
NGA,2015,2,150.0,102528.0,33087.0,0.5406938449795854
NGA,2016,4,1333.0,28432.0,0.0,0.38262112964310596
NGA,2017,4,31.0,12204.0,0.0,0.2608345299833636
NGA,2018,3,390.0,1939285.0,343537.0,0.6629610060363724
NGA,2019,5,122.0,93974.0,0.0,0.36084502616775593
NGA,2020,5,312.0,194312.0,121204.0,0.6070696788484828
NGA,2021,3,3608.0,187419.0,0.0,0.4458100443550667
NGA,2022,4,788.0,21919398.0,4501868.0,0.7957635183636135
NGA,2023,3,1330.0,52847.0,0.0,0.38981373487703086
NGA,2024,3,359.0,1791976.0,225000.0,0.6421927690372631
PAK,2010,5,2136.0,20367496.0,13781537.0,0.8519957883944433
PAK,2011,2,511.0,5401755.0,3486375.0,0.7808598293938067
PAK,2012,3,518.0,5050564.0,3415693.0,0.7797634076179703
PAK,2013,5,730.0,1698756.0,2154484.0,0.7555572765319739
PAK,2014,3,410.0,2530755.0,2673965.0,0.76681421245835
PAK,2015,9,1879.0,2160165.0,1323.0,0.5239661814056362
PAK,2016,9,409.0,11095.0,2614.0,0.4168603497609305
PAK,2017,5,231.0,65622.0,140771.0,0.6141899555698345
PAK,2018,2,240.0,5000.0,0.0,0.29377332482255175
PAK,2019,12,456.0,4866176.0,20859.0,0.5776711995716063
PAK,2020,5,614.0,2560289.0,1818057.0,0.747082946850993
PAK,2021,8,264.0,67213.0,11577.0,0.4885386747937351
PAK,2022,5,1808.0,33016869.0,16078100.0,0.8602674914486776
PAK,2023,12,369.0,120743.0,0.0,0.3812959558502956
PAK,2024,6,1082.0,580808.0,0.0,0.457644233887208
PHL,2010,14,1111.0,5580580.0,481936.0,0.683371106045725
PHL,2011,33,1960.0,11729058.0,1018053.0,0.722050457021987
PHL,2012,21,2340.0,12531423.0,1373943.0,0.7364389356663399
PHL,2013,14,7750.0,25667133.0,16727965.0,0.8620731028463592
PHL,2014,13,331.0,13274658.0,1409451.0,0.7378315285919655
PHL,2015,16,201.0,4019201.0,2601930.0,0.7657021666527508
PHL,2016,11,87.0,5534812.0,235356.0,0.6514304163812067
PHL,2017,14,233.0,4869805.0,206311.0,0.6446784982010523
PHL,2018,11,832.0,9694321.0,711698.0,0.7044431116423672
PHL,2019,18,1005.0,6928471.0,759717.0,0.7057402427776828
PHL,2020,8,192.0,6116522.0,1349571.0,0.7332139036996855
PHL,2021,14,572.0,12785052.0,1215807.0,0.7307062920914987
PHL,2022,11,604.0,7916906.0,348865.0,0.6715219876416937
PHL,2023,15,132.0,11286950.0,420194.0,0.6828245900194984
PHL,2024,16,374.0,25697990.0,798000.0,0.7181780300791223
SDN,2010,2,36.0,26362.0,0.0,0.2954574537247912
SDN,2011,1,20.0,30.0,0.0,0.15838451364289052
SDN,2012,3,206.0,3335813.0,0.0,0.5396278448267391
SDN,2013,1,76.0,500133.0,9426.0,0.4961810487981033
SDN,2014,1,39.0,266204.0,0.0,0.409165295198327
SDN,2015,3,36.0,800000.0,0.0,0.4656096851399145
SDN,2016,2,190.0,200636.0,0.0,0.39845944422152396
SDN,2017,2,682.0,86409.0,0.0,0.38029029685725957
SDN,2018,3,46.0,127476.0,0.0,0.3721392861194953
SDN,2019,4,131.0,355106.0,0.0,0.42520394314359183
SDN,2020,2,193.0,877150.0,303009.0,0.65507132063501
SDN,2021,3,121.0,322018.0,0.0,0.42017488840918027
SDN,2022,2,146.0,12188422.0,10719.0,0.6108264868453361
SDN,2024,2,1640.0,374554.0,0.0,0.4448891721361278
SYR,2015,2,13.0,3500.0,0.0,0.20152438610427822
SYR,2019,1,2.0,235000.0,0.0,0.4020030853688932
SYR,2020,1,3.0,140079.0,0.0,0.3752940052312001
